name;ru;en
Abc.Model.N_NavigItem.Navig;Меню;
Abc.Model.N_NavigItem.OldID;Старый ИД;
Abc.Model.N_NavigItem.Parent;Родительский элемент;Parent
Abc.Model.N_NavigItem.SeqNo;Порядковый номер;Seq no
Abc.Model.N_NavigItem.SortChildren;Отсортировать дочерние элементы;
Abc.Model.N_NavigItem.SPMActionGUID;Защищаемая операция;
Abc.Model.N_NavigItem.Tag;Дополнительные данные;Tag
Abc.Model.N_NavigItem.Title;Наименование;Title
Abc.Model.N_NavigItem.Tooltip;Подсказка;Tooltip
Abc.Model.N_NavigItem.Type;Тип;Type
Abc.Model.N_NavigItem.URL;Реальный URL;Url
Abc.Model.N_ObjectChange;Изменение объекта;Object change log
Abc.Model.N_ObjectChange-pl;Журнал действий пользователей;User activity log
Abc.Model.N_ObjectChange.Details;Событие / Изменения;Details
Abc.Model.N_ObjectChange.IP;IP;IP
Abc.Model.N_ObjectChange.LastModifiedDate;Дата, время;Date
Abc.Model.N_ObjectChange.ObjectKey;Ид объекта;Object ID
Abc.Model.N_ObjectChange.ObjectTitle;Название объекта;Object
Abc.Model.N_ObjectChange.ObjectTypeSysName;Системное имя типа объекта;Class
Abc.Model.N_ObjectChange.ObjectTypeTitle;Тип объекта;Class
Abc.Model.N_ObjectChange.PropertyChanges;Изменения свойств;Changed properties
Abc.Model.N_ObjectChange.SubjectID;Ид субъекта доступа;Subject ID
Abc.Model.N_ObjectChange.Title;Действие;Operation
Abc.Model.N_ObjectChange.UserLogin;Логин пользователя;User login
Abc.Model.N_ObjectChange.UserTitle;Имя пользователя;User
Abc.Model.N_ObjectPropertyChange;Изменение свойства;Object property change log
Abc.Model.N_ObjectPropertyChange.NewValue;Новое значение;New value
Abc.Model.N_ObjectPropertyChange.NewValueTitle;Отображаемый текст нового значения;New value
Abc.Model.N_ObjectPropertyChange.ObjectChange;Изменение объекта;Changed object
Abc.Model.N_ObjectPropertyChange.OldValue;Старое значение;Old value
Abc.Model.N_ObjectPropertyChange.OldValueTitle;Отображаемый текст старого значения;Old value
Abc.Model.N_ObjectPropertyChange.PropertySysName;Системное имя свойства;Property
Abc.Model.N_ObjectPropertyChange.Title;Наименование свойства;Property
Abc.Model.N_Settings;Параметр системы;System setting
Abc.Model.N_Settings-pl;Параметры системы;System settings
Abc.Model.N_Settings.AcceptableValues;Список разрешенных значений;Acceptable values
Abc.Model.N_Settings.Group;Группа параметра;Group
Abc.Model.N_Settings.IsDeleted;Удален;Deleted
Abc.Model.N_Settings.IsSystem;Свойство является системным;Is system
Abc.Model.N_Settings.LastModifiedDate;Дата последней модификации;Last modified date
Abc.Model.N_Settings.LastModifiedUser;Последний редактировавший пользователь;Last modified by
Abc.Model.N_Settings.ObjectChangeHistory;История изменений;
Abc.Model.N_Settings.SystemName;Системное имя;System name
Abc.Model.N_Settings.Title;Наименование;Title
Abc.Model.N_Settings.Value;Значение;Value
Abc.Model.N_SettingsGroup;Группа параметров;Setting group
Abc.Model.N_SettingsGroup-pl;Группы параметров системы;Setting groups
Abc.Model.N_SettingsGroup.CreateNewForSettings;Создать группу;New group
Abc.Model.N_SettingsGroup.IsDeleted;Удален;Deleted
Abc.Model.N_SettingsGroup.LastModifiedDate;Дата последней модификации;Last modified date
Abc.Model.N_SettingsGroup.LastModifiedUser;Последний редактировавший пользователь;Last modified by
Abc.Model.N_SettingsGroup.Settings;Параметры системы;
Abc.Model.N_SettingsGroup.Title;Наименование;Title
Abc.Model.N_SqlStatementLog;Элемент журнала SQL-запросов;Sql execution log
Abc.Model.N_SqlStatementLog-pl;Журнал sql запросов;Sql execution log
Abc.Model.N_SqlStatementLog.Execute;Выполнение SQL;Execute
Abc.Model.N_SqlStatementLog.ExecuteHistory;Выполнить из журнала;
Abc.Model.N_SqlStatementLog.IP;IP-адрес;IP
Abc.Model.N_SqlStatementLog.LastModifiedDate;Дата последней модификации;Last modified date
Abc.Model.N_SqlStatementLog.LastModifiedUser;Последний редактировавший пользователь;Last modified by
Abc.Model.N_SqlStatementLog.Title;Текст запроса;Query text
Abc.Model.N_TextResource;Текстовый ресурс;Text resource
Abc.Model.N_TextResource-pl;Текстовые ресурсы;Text resources
Abc.Model.N_TextResource.SysName;Системное имя;System name
Abc.Model.N_TextResource.Text;Текст;Text
Abc.Model.N_TextResource.Title;Название;Title
Abc.Model.N_VirusScanLog;Проверка загружаемого файла на вирусы;Antivirus log
Abc.Model.N_VirusScanLog-pl;Журнал проверок на вирусы;Antivirus log
Abc.Model.N_VirusScanLog.IsDeleted;Удален;Deleted
Abc.Model.N_VirusScanLog.LastModifiedDate;Дата проверки;Check date
Abc.Model.N_VirusScanLog.LastModifiedUser;Загрузивший пользователь;User
Abc.Model.N_VirusScanLog.ResultCode;Код результата;Result code
Abc.Model.N_VirusScanLog.Title;Имя файла;File name
Abc.Model.TM_Task;Задача;Task
Abc.Model.TM_Task-pl;Задачи;Tasks
Abc.Model.TM_Task.Class;Класс;Class
Abc.Model.TM_Task.ErrorLogID;Ид ошибки в журнале;Error
Abc.Model.TM_Task.ExecutionTimeout;Таймаут выполнения задачи, мин;Execution timeout
Abc.Model.TM_Task.Interval;Интервал;
Abc.Model.TM_Task.Interval-False;Интервал запуска;Invoke interval
Abc.Model.TM_Task.Interval-True;Время запуска;Run time
Abc.Model.TM_Task.IsActive;Активна;Is active
Abc.Model.TM_Task.IsSuccessfull;Признак успешности;Last run was successful
Abc.Model.TM_Task.LastStartDate;Последний запуск;Last start date
Abc.Model.TM_Task.Method;Метод;Method
Abc.Model.TM_Task.Parameters;Параметры;
Abc.Model.TM_Task.Start;Запуск;Run
Abc.Model.TM_Task.StartFromService;Старт службой;Start from service
Abc.Model.TM_Task.StartType;Тип старта;Start type
Abc.Model.TM_Task.StartType-False;С заданным интервалом;At a specific intervals
Abc.Model.TM_Task.StartType-True;В определенное время;At a specific time
Abc.Model.TM_Task.Title;Название;Title
Abc.Model.TM_Task.ViewList;Список задач;Task list
Abc.Model.TM_TaskExecution;Запуск задачи;Task execution log
Abc.Model.TM_TaskExecution-pl;Лог запуска задач;Task execution log
Abc.Model.TM_TaskExecution.ExecutionLog;Журнал выполнения;Execution log
Abc.Model.TM_TaskExecution.FinishDate;Дата/время окончания;Finish date
Abc.Model.TM_TaskExecution.IsSuccessfull;Результат;Is successful
Abc.Model.TM_TaskExecution.LastModifiedDate;Дата записи;Last modified date
Abc.Model.TM_TaskExecution.LastModifiedUser;Пользователь;Last modified by
Abc.Model.TM_TaskExecution.LastModifiedUser.Title;Пользователь;Last modified by
Abc.Model.TM_TaskExecution.MachineName;Имя машины;Host name
Abc.Model.TM_TaskExecution.ResultXml;Результат XML;Result
Abc.Model.TM_TaskExecution.StartDate;Дата/время запуска;Start date
Abc.Model.TM_TaskExecution.Task;Задача;Task
Abc.Model.TM_TaskExecution.Task.Title;Задача;Task
Abc.Model.TM_TaskExecution.Title;Наименование;Title
Abc.Model.TM_TaskExecution.ViewList;Лог запуска задач;Execution log
Abc.Model.TM_TaskParameter;Параметр задачи;Task parameter
Abc.Model.TM_TaskParameter-pl;Параметры задачи;Task parameters
Abc.Model.TM_TaskParameter.MoveDown;Переместить вниз;Move down
Abc.Model.TM_TaskParameter.MoveUp;Переместить вверх;Move up
Abc.Model.TM_TaskParameter.Parent;Задача;
Abc.Model.TM_TaskParameter.SeqNo;Порядковый номер;Seq no
Abc.Model.TM_TaskParameter.SysName;Системное имя;System name
Abc.Model.TM_TaskParameter.Title;Название;Title
Abc.Model.TM_TaskParameter.Value;Значение;Value
Abc.Model.WF_Activity;Активность;Activity
Abc.Model.WF_Activity-pl;Состояния;Activities
Abc.Model.WF_Activity.ChildActivities;Дочерние активности;
Abc.Model.WF_Activity.IsActive;Действующее;Active
Abc.Model.WF_Activity.IsDeleted;Удален;Deleted
Abc.Model.WF_Activity.LastModifiedDate;Дата последней модификации;Last modified date
Abc.Model.WF_Activity.LastModifiedUser;Последний редактировавший пользователь;Last modified by
Abc.Model.WF_Activity.MoveDown;Переместить вниз;Move down
Abc.Model.WF_Activity.MoveUp;Переместить вверх;Move up
Abc.Model.WF_Activity.ParentActivity;Родительская активность;
Abc.Model.WF_Activity.SeqNo;Порядковый номер;Seq no
Abc.Model.WF_Activity.SysName;Системное имя;System name
Abc.Model.WF_Activity.Title;Наименование;Title
Abc.Model.WF_Activity.Workflow;Рабочий процесс;
Abc.Model.WF_Transition;Переход;Transition
Abc.Model.WF_Transition-pl;Переходы;Transitions
Abc.Model.WF_Transition.IsActive;Действующий;Active
Abc.Model.WF_Transition.IsDeleted;Удален;Deleted
Abc.Model.WF_Transition.LastModifiedDate;Дата последней модификации;Last modified date
Abc.Model.WF_Transition.LastModifiedUser;Последний редактировавший пользователь;Last modified by
Abc.Model.WF_Transition.MoveDown;Переместить вниз;Move down
Abc.Model.WF_Transition.MoveUp;Переместить вверх;Move up
Abc.Model.WF_Transition.Parent;Исходная активность;Source activity
Abc.Model.WF_Transition.SeqNo;Порядковый номер;Seq no
Abc.Model.WF_Transition.TargetActivity;Целевая активность;Destination activity
Abc.Model.WF_Transition.Title;Наименование;Title
Abc.Model.WF_Workflow;Рабочий процесс;Workflow
Abc.Model.WF_Workflow-pl;Рабочие процессы;Workflows
Abc.Model.WF_Workflow.Activities;Активности;
Abc.Model.WF_Workflow.ClassName;Класс;Class
Abc.Model.WF_Workflow.Generate;Сгенерировать методы;
Abc.Model.WF_Workflow.IsActive;Действующий;Active
Abc.Model.WF_Workflow.IsDeleted;Удален;Deleted
Abc.Model.WF_Workflow.LastModifiedDate;Дата последней модификации;Last modified date
Abc.Model.WF_Workflow.LastModifiedUser;Последний редактировавший пользователь;Last modified by
Abc.Model.WF_Workflow.SysName;Системное имя;System name
Abc.Model.WF_Workflow.Title;Наименование;Title
abc.model.utils.notfoundresources;Отсутствующие ресурсы;Not found resources
